"Code","LAU2","NUTS3","Rank","Aging","SuperOld","Population","Foreign","Women","Latitude","Longitude"
"01001","Alegría-Dulantzi","Alava",7813,6.3578,0,2860,8.11,48.01,42.829133,-2.511082
"01002","Amurrio","Alava",6735,19.9174,0,10071,6.45,49.93,43.025861,-2.971805
"01003","Aramaio","Alava",5582,32.3805,0,1507,2.18,47.54,43.046102,-2.593717
"01004","Artziniega","Alava",7369,12.1612,0,1854,6.11,49.61,43.129849,-3.141378
"01006","Armiñón","Alava",6965,17.256,0,227,2.64,49.34,42.714032,-2.873392
"01008","Arrazua-Ubarrundia","Alava",7576,9.8078,0,953,2.21,46.67,42.924273,-2.614357
"01009","Asparrena","Alava",6175,25.9919,0,1691,8.71,49.48,42.894228,-2.315963
"01010","Ayala/Aiara","Alava",6472,22.7144,0,2894,1.73,49.84,43.075616,-3.07833
"01011","Baños de Ebro/Mañueta","Alava",3426,57.0293,0,314,9.94,44.47,42.522822,-2.675021
"01013","Barrundia","Alava",6930,17.6873,0,904,4.13,45.53,42.911724,-2.4929
"01014","Berantevilla","Alava",4479,45.2193,0,480,5.8,48.42,42.686984,-2.833232
"01016","Bernedo","Alava",3959,51.1828,0,572,7.11,42.71,42.693997,-2.523634
"01017","Campezo/Kanpezu","Alava",4597,43.9194,0,1146,8.02,47.62,42.686655,-2.360892
"01018","Zigoitia","Alava",7719,7.6207,0,1740,3.1,45.95,42.968672,-2.730717
"01019","Kripan","Alava",4324,47.1476,0,196,1.02,45.41,42.595191,-2.514512
"01020","Kuartango","Alava",5677,31.4564,0,355,1.57,42.87,42.895785,-2.93506
"01021","Elburgo/Burgelu","Alava",8052,2.2486,0,624,4.4,47.23,42.865051,-2.547204
"01022","Elciego","Alava",4973,39.5145,0,1048,7.01,50.72,42.50723,-2.624927
"01023","Elvillar/Bilar","Alava",4574,44.172,0,363,8.71,48.98,42.562056,-2.540554
"01027","Iruraiz-Gauna","Alava",6334,24.2977,0,540,3.09,44.6,42.822721,-2.476186
"01028","Labastida/Bastida","Alava",6931,17.6811,0,1489,9.3,48.2,42.605466,-2.808739
"01030","Lagrán","Alava",1695,76.842,0,182,3.05,47.67,42.621238,-2.608383
"01031","Laguardia","Alava",6246,25.2772,0,1541,8.07,48.25,42.548519,-2.573698
"01032","Lanciego/Lantziego","Alava",4351,46.8149,0,690,10.29,47.38,42.544181,-2.499907
"01033","Lapuebla de Labarca","Alava",5652,31.672,0,859,8.31,48.17,42.494779,-2.570302
"01034","Leza","Alava",4137,49.1745,0,222,8.86,48.28,42.571238,-2.637456
"01036","Laudio/Llodio","Alava",5411,34.2287,0,18461,4.6,50.49,43.138605,-2.977814
"01037","Arraia-Maeztu","Alava",4772,41.7693,0,739,3.81,43.98,42.749115,-2.445247
"01039","Moreda de Álava/Moreda Araba","Alava",4056,50.1848,0,248,5.94,48.87,42.527431,-2.415038
"01041","Navaridas","Alava",4819,41.258,0,223,12.66,44.49,42.539709,-2.631428
"01042","Okondo","Alava",7269,13.6151,0,1159,4.19,47.17,43.168503,-3.018034
"01043","Oyón-Oion","Alava",6132,26.5155,0,3283,11.61,48.72,42.544564,-2.43285
"01044","Peñacerrada-Urizaharra","Alava",4931,40.0136,0,278,4.62,41.53,42.637998,-2.705872
"01046","Erriberagoitia/Ribera Alta","Alava",6277,24.8829,0,787,7.6,43.9,42.802473,-2.925146
"01047","Ribera Baja/Erribera Beitia","Alava",7758,7.1833,0,1311,9.49,45.39,42.724526,-2.902679
"01049","Añana","Alava",3076,60.9229,0,165,6.67,46.06,42.813738,-2.991617
"01051","Salvatierra/Agurain","Alava",7706,7.9041,0,4937,10.72,49.42,42.838436,-2.387136
"01052","Samaniego","Alava",4676,42.8475,0,334,14.57,44.22,42.570654,-2.673598
"01053","San Millán/Donemiliaga","Alava",5023,38.9108,0,720,2.62,45.38,42.878962,-2.392888
"01054","Urkabustaiz","Alava",7266,13.6274,0,1355,11.52,46.96,42.966512,-2.921278
"01055","Valdegovía/Gaubea","Alava",3526,56.0436,0,1079,5.72,45.06,42.864052,-3.12832
"01056","Harana/Valle de Arana","Alava",1752,76.3061,0,283,3.84,42.1,42.757209,-2.318377
"01057","Villabuena de Álava/Eskuernaga","Alava",3384,57.5222,0,330,9.7,48.17,42.541321,-2.661427
"01058","Legutio","Alava",7643,8.7482,0,1739,8.87,46.9,42.98291,-2.647786
"01059","Vitoria-Gasteiz","Alava",6733,19.9544,0,240753,9.78,50.72,42.850442,-2.687861
"01060","Yécora/Iekora","Alava",4570,44.209,0,286,8.87,47.5,42.555516,-2.468706
"01061","Zalduondo","Alava",7349,12.4138,0,185,1.62,43.78,42.900257,-2.343782
"01062","Zambrana","Alava",6251,25.2403,0,434,10.45,46.37,42.657366,-2.822087
"01063","Zuia","Alava",6479,22.6651,0,2420,3.92,48.32,42.984352,-2.835924
"01901","Iruña Oka/Iruña de Oca","Alava",7911,4.8484,0,3043,6.13,48.36,42.826511,-2.819423
"01902","Lantarón","Alava",5146,37.5554,0,909,4.86,44.86,42.755429,-3.014039
"02001","Abengibre","Albacete",3929,51.5648,0,859,6.88,50.22,39.214544,-1.539007
"02002","Alatoz","Albacete",2245,70.8169,0,587,10.79,44.84,39.079709,-1.370423
"02003","Albacete","Albacete",7516,10.3992,0,171999,6.42,50.84,38.95614,-1.891757
"02004","Albatana","Albacete",3361,57.8179,0,784,4.05,49.45,38.576168,-1.515862
"02005","Alborea","Albacete",4030,50.4497,0,830,16.43,48.97,39.291897,-1.385923
"02006","Alcadozo","Albacete",3099,60.658,0,732,2.86,47.79,38.662482,-2.056677
"02007","Alcalá del Júcar","Albacete",2625,66.4059,0,1335,5.84,46.78,39.185715,-1.402806
"02008","Alcaraz","Albacete",4506,44.7758,0,1585,3.25,49.66,38.719093,-2.530591
"02009","Almansa","Albacete",6998,16.8679,0,25316,5.33,50.26,38.841165,-1.090377
"02010","Alpera","Albacete",4407,46.088,0,2410,7.25,48.73,38.988661,-1.273489
"02011","Ayna","Albacete",1067,84.1301,0,788,2.3,46.84,38.564985,-2.104912
"02012","Balazote","Albacete",5611,32.0416,0,2410,7.5,48.58,38.886978,-2.137618
"02013","Balsa de Ves","Albacete",1267,81.7336,0,182,10.44,45.63,39.261881,-1.210081
"02014","Ballestero, El","Albacete",4865,40.7713,0,459,4.91,49.15,38.844424,-2.47576
"02015","Barrax","Albacete",5989,28.1235,0,2010,7.63,48.57,39.033059,-2.204857
"02016","Bienservida","Albacete",4416,45.9956,0,703,2.35,48.54,38.530103,-2.647558
"02017","Bogarra","Albacete",1210,82.4606,0,1007,2.08,46.97,38.583491,-2.234434
"02018","Bonete","Albacete",5462,33.7235,0,1226,14.38,49.57,38.88818,-1.308633
"02019","Bonillo, El","Albacete",4444,45.6321,0,3010,2.52,49.17,38.940367,-2.583602
"02020","Carcelén","Albacete",2125,72.1784,0,633,8.62,46.35,39.106206,-1.288194
"02021","Casas de Juan Núñez","Albacete",4796,41.5106,0,1433,7.77,47.71,39.097268,-1.574882
"02022","Casas de Lázaro","Albacete",1759,76.2137,0,453,1.75,45.24,38.755784,-2.228983
"02023","Casas de Ves","Albacete",1790,75.9241,0,711,4.06,47.33,39.249179,-1.300929
"02024","Casas-Ibáñez","Albacete",6204,25.7454,0,4805,13.48,48.16,39.311915,-1.458817
"02025","Caudete","Albacete",6583,21.6548,0,10460,12.01,49.42,38.708175,-1.010123
"02026","Cenizate","Albacete",5190,37.0256,0,1243,17.8,46.98,39.298196,-1.660521
"02027","Corral-Rubio","Albacete",2135,71.9998,0,403,4.08,47.76,38.811233,-1.440529
"02028","Cotillas","Albacete",1969,73.9835,0,157,0.64,45.99,38.422891,-2.50117
"02029","Chinchilla de Monte-Aragón","Albacete",6977,17.1328,0,4081,4.93,47.77,38.876054,-1.636512
"02030","Elche de la Sierra","Albacete",4932,39.9889,0,3937,2.62,49.78,38.454634,-2.095643
"02031","Férez","Albacete",3146,60.2206,0,737,1.74,51.43,38.38658,-1.946213
"02032","Fuensanta","Albacete",2304,70.1824,0,369,7.96,45.42,39.240608,-2.06859
"02033","Fuente-Álamo","Albacete",5417,34.1486,0,2657,11.06,47.08,38.708472,-1.457957
"02034","Fuentealbilla","Albacete",5260,36.1693,0,1981,15.55,49.57,39.249781,-1.567881
